Policy_ID,State,Product,Policy_Version,Policy_Effective_Date,Requirement_Effective_Date,Clause_ID,Required_Clause_Version,Requirement_ID,_merge
P100124,CT,POS,3,2025-10-21,2025-01-01,CL0707,4,RR00043,left_only
P100124,CT,POS,3,2025-10-21,2025-01-01,CL0657,3,RR00045,left_only
P100126,MA,EPO,1,2025-05-16,2025-01-01,CL0755,2,RR00147,left_only
P100127,PA,POS,3,2026-04-29,2025-01-01,CL0562,1,RR00196,left_only
P100136,IL,EPO,1,2026-06-27,2025-01-01,CL0658,3,RR00351,left_only
P100136,IL,EPO,1,2026-06-27,2025-01-01,CL0683,3,RR00353,left_only
P100138,CA,EPO,3,2026-03-04,2025-01-01,CL0973,2,RR00214,left_only
P100138,CA,EPO,3,2026-03-04,2025-01-01,CL0272,2,RR00222,left_only
P100139,MA,POS,1,2025-03-12,2025-01-01,CL0209,3,RR00157,left_only
P100141,TX,EPO,2,2025-02-21,2025-01-01,CL0898,5,RR00257,left_only
P100141,TX,EPO,2,2025-02-21,2025-01-01,CL0636,4,RR00263,left_only
P100146,IL,EPO,4,2026-01-15,2025-01-01,CL0683,3,RR00353,left_only
P100147,IL,HMO,4,2026-04-23,2025-01-01,CL0681,5,RR00336,left_only
P100150,NJ,HMO,2,2025-06-28,2025-01-01,CL0760,3,RR00095,left_only
P100153,FL,POS,5,2026-11-29,2025-01-01,CL0285,1,RR00311,left_only
P100153,FL,POS,5,2026-11-29,2025-01-01,CL0319,2,RR00315,left_only
P100155,PA,POS,2,2025-01-13,2025-01-01,CL0612,1,RR00189,left_only
P100155,PA,POS,2,2025-01-13,2025-01-01,CL0899,5,RR00195,left_only
P100156,CT,HMO,1,2026-03-19,2025-01-01,CL0618,5,RR00019,left_only
P100156,CT,HMO,1,2026-03-19,2025-01-01,CL0631,1,RR00023,left_only
P100160,CA,POS,3,2026-07-24,2025-01-01,CL0429,2,RR00231,left_only
P100160,CA,POS,3,2026-07-24,2025-01-01,CL0878,4,RR00235,left_only
P100161,FL,PPO,5,2026-07-02,2025-01-01,CL0433,2,RR00287,left_only
P100166,OH,HMO,4,2026-07-16,2025-01-01,CL0872,3,RR00381,left_only
P100170,NJ,POS,4,2025-12-17,2025-01-01,CL0104,5,RR00119,left_only
P100170,NJ,POS,4,2025-12-17,2025-01-01,CL0469,3,RR00122,left_only
P100175,CT,PPO,4,2026-07-29,2025-01-01,CL0514,1,RR00008,left_only
P100175,CT,PPO,4,2026-07-29,2025-01-01,CL0774,1,RR00009,left_only
P100177,NY,POS,5,2025-12-13,2025-01-01,CL0257,1,RR00073,left_only
P100177,NY,POS,5,2025-12-13,2025-01-01,CL0747,5,RR00074,left_only
P100178,NY,PPO,2,2026-09-05,2025-01-01,CL0930,5,RR00047,left_only
P100181,PA,POS,1,2025-04-02,2025-01-01,CL0562,1,RR00196,left_only
P100186,PA,POS,2,2026-01-07,2025-01-01,CL0152,5,RR00190,left_only
P100186,PA,POS,2,2026-01-07,2025-01-01,CL0876,5,RR00191,left_only
P100189,TX,HMO,3,2026-02-23,2025-01-01,CL0317,2,RR00253,left_only
P100197,MA,PPO,2,2026-12-25,2025-01-01,CL0915,4,RR00126,left_only
P100206,MA,HMO,2,2025-11-08,2025-01-01,CL0842,5,RR00139,left_only
P100208,OH,EPO,5,2026-03-07,2025-01-01,CL0332,4,RR00394,left_only
P100214,IL,HMO,2,2025-09-01,2025-01-01,CL0329,5,RR00335,left_only
P100214,IL,HMO,2,2025-09-01,2025-01-01,CL0476,2,RR00337,left_only
P100216,FL,PPO,4,2025-09-06,2025-01-01,CL0373,1,RR00280,left_only
P100216,FL,PPO,4,2025-09-06,2025-01-01,CL0990,2,RR00283,left_only
P100219,FL,PPO,4,2026-10-29,2025-01-01,CL0433,2,RR00287,left_only
P100222,IL,PPO,2,2026-02-24,2025-01-01,CL0115,3,RR00328,left_only
P100226,NJ,EPO,5,2025-08-09,2025-01-01,CL0662,4,RR00105,left_only
P100227,TX,POS,3,2026-05-28,2025-01-01,CL0096,5,RR00270,left_only
P100227,TX,POS,3,2026-05-28,2025-01-01,CL0210,1,RR00276,left_only
P100229,IL,HMO,5,2026-03-17,2025-01-01,CL0701,3,RR00332,left_only
P100229,IL,HMO,5,2026-03-17,2025-01-01,CL0155,4,RR00338,left_only
P100234,PA,POS,1,2026-11-21,2025-01-01,CL0562,1,RR00196,left_only
P100236,TX,HMO,3,2026-09-27,2025-01-01,CL0681,3,RR00244,left_only
P100236,TX,HMO,3,2026-09-27,2025-01-01,CL0317,2,RR00253,left_only
P100237,IL,POS,3,2026-08-09,2025-01-01,CL0844,4,RR00363,left_only
P100241,NJ,POS,1,2026-11-23,2025-01-01,CL0469,3,RR00122,left_only
P100243,FL,POS,2,2026-12-20,2025-01-01,CL0929,4,RR00314,left_only
P100244,CA,PPO,4,2025-08-22,2025-01-01,CL0422,2,RR00201,left_only
P100245,FL,POS,5,2025-01-24,2025-01-01,CL0698,1,RR00313,left_only
P100245,FL,POS,5,2025-01-24,2025-01-01,CL0319,2,RR00315,left_only
P100246,CT,HMO,3,2025-01-26,2025-01-01,CL0881,2,RR00021,left_only
P100250,FL,PPO,3,2026-01-13,2025-01-01,CL0373,1,RR00280,left_only
P100250,FL,PPO,3,2026-01-13,2025-01-01,CL0796,4,RR00285,left_only
P100251,MA,POS,2,2026-06-06,2025-01-01,CL0684,5,RR00159,left_only
P100252,CA,POS,4,2025-01-17,2025-01-01,CL0878,4,RR00235,left_only
P100255,NJ,PPO,2,2026-09-16,2025-01-01,CL0045,4,RR00087,left_only
P100258,IL,POS,5,2026-08-06,2025-01-01,CL0844,4,RR00363,left_only
P100263,NJ,POS,4,2025-01-09,2025-01-01,CL0294,1,RR00117,left_only
P100264,IL,PPO,3,2026-08-21,2025-01-01,CL0908,5,RR00325,left_only
P100266,CT,POS,2,2025-08-28,2025-01-01,CL0187,5,RR00038,left_only
P100268,CT,PPO,1,2025-01-27,2025-01-01,CL0742,5,RR00003,left_only
P100269,PA,POS,1,2025-03-22,2025-01-01,CL0152,5,RR00190,left_only
P100270,MA,PPO,4,2026-08-19,2025-01-01,CL0190,2,RR00129,left_only
P100277,NJ,HMO,1,2026-10-09,2025-01-01,CL0274,4,RR00102,left_only
P100278,CA,POS,1,2026-03-30,2025-01-01,CL0878,4,RR00235,left_only
P100280,CA,PPO,4,2025-02-28,2025-01-01,CL0869,1,RR00200,left_only
P100289,CT,POS,3,2026-12-29,2025-01-01,CL0624,4,RR00040,left_only
P100291,NJ,PPO,5,2026-12-07,2025-01-01,CL0045,4,RR00087,left_only
P100292,MA,HMO,1,2025-12-13,2025-01-01,CL0404,2,RR00132,left_only
P100292,MA,HMO,1,2025-12-13,2025-01-01,CL0507,2,RR00134,left_only
P100293,NJ,EPO,2,2026-06-10,2025-01-01,CL0471,1,RR00106,left_only
P100293,NJ,EPO,2,2026-06-10,2025-01-01,CL0676,1,RR00113,left_only
P100294,CT,POS,5,2025-10-31,2025-01-01,CL0805,2,RR00044,left_only
P100295,CT,HMO,5,2026-09-07,2025-01-01,CL0618,5,RR00019,left_only
P100296,PA,PPO,1,2025-09-02,2025-01-01,CL0139,2,RR00167,left_only
P100298,NJ,EPO,4,2025-08-05,2025-01-01,CL0519,2,RR00111,left_only
P100301,FL,POS,3,2025-02-05,2025-01-01,CL0319,2,RR00315,left_only
P100305,CT,EPO,5,2026-12-12,2025-01-01,CL0201,3,RR00028,left_only
P100305,CT,EPO,5,2026-12-12,2025-01-01,CL0874,4,RR00030,left_only
P100307,PA,PPO,5,2025-03-03,2025-01-01,CL0139,2,RR00167,left_only
P100309,CT,EPO,5,2026-10-21,2025-01-01,CL0426,4,RR00027,left_only
P100309,CT,EPO,5,2026-10-21,2025-01-01,CL0859,3,RR00031,left_only
P100310,NJ,EPO,2,2026-01-01,2025-01-01,CL0638,5,RR00114,left_only
P100312,IL,POS,3,2026-05-03,2025-01-01,CL0276,4,RR00357,left_only
P100312,IL,POS,3,2026-05-03,2025-01-01,CL0076,4,RR00361,left_only
P100314,CA,HMO,1,2026-05-04,2025-01-01,CL0797,1,RR00205,left_only
P100315,OH,HMO,2,2025-08-18,2025-01-01,CL0872,3,RR00381,left_only
P100315,OH,HMO,2,2025-08-18,2025-01-01,CL0354,3,RR00382,left_only
P100316,NJ,HMO,3,2026-01-05,2025-01-01,CL0388,5,RR00093,left_only
P100319,NY,POS,3,2026-07-22,2025-01-01,CL0750,4,RR00079,left_only
P100321,TX,EPO,5,2025-09-27,2025-01-01,CL0206,5,RR00262,left_only
P100323,OH,EPO,1,2025-03-23,2025-01-01,CL0841,3,RR00399,left_only
P100326,CT,PPO,1,2025-07-08,2025-01-01,CL0890,3,RR00011,left_only
P100329,IL,PPO,1,2025-01-10,2025-01-01,CL0908,5,RR00325,left_only
P100330,CA,EPO,5,2026-09-27,2025-01-01,CL0580,3,RR00216,left_only
P100335,NJ,POS,1,2025-07-12,2025-01-01,CL0023,5,RR00120,left_only
P100336,NY,EPO,3,2026-10-01,2025-01-01,CL0852,1,RR00061,left_only
P100336,NY,EPO,3,2026-10-01,2025-01-01,CL0877,5,RR00062,left_only
P100336,NY,EPO,3,2026-10-01,2025-01-01,CL0710,2,RR00067,left_only
P100339,OH,EPO,1,2026-10-11,2025-01-01,CL0050,2,RR00397,left_only
P100342,MA,POS,1,2026-02-11,2025-01-01,CL0310,3,RR00154,left_only
P100343,MA,EPO,1,2026-01-05,2025-01-01,CL0129,5,RR00145,left_only
P100347,TX,EPO,2,2026-06-13,2025-01-01,CL0311,4,RR00258,left_only
P100349,NY,POS,5,2025-01-13,2025-01-01,CL0937,4,RR00080,left_only
P100350,TX,EPO,2,2026-12-03,2025-01-01,CL0311,4,RR00258,left_only
P100352,NJ,HMO,4,2025-11-08,2025-01-01,CL0069,5,RR00103,left_only
P100353,IL,HMO,5,2025-04-14,2025-01-01,CL0157,5,RR00341,left_only
P100354,OH,POS,2,2025-12-05,2025-01-01,CL0366,3,RR00403,left_only
P100355,CA,EPO,4,2025-07-17,2025-01-01,CL0090,3,RR00218,left_only
P100360,MA,EPO,3,2025-06-18,2025-01-01,CL0541,2,RR00146,left_only
P100360,MA,EPO,3,2025-06-18,2025-01-01,CL0755,2,RR00147,left_only
P100364,PA,PPO,2,2025-09-01,2025-01-01,CL0716,5,RR00171,left_only
P100364,PA,PPO,2,2025-09-01,2025-01-01,CL0348,3,RR00172,left_only
P100366,FL,HMO,2,2026-04-09,2025-01-01,CL0236,3,RR00295,left_only
P100368,PA,POS,1,2026-03-13,2025-01-01,CL0612,1,RR00189,left_only
P100369,TX,HMO,5,2026-06-15,2025-01-01,CL0317,2,RR00253,left_only
P100370,MA,POS,1,2026-07-19,2025-01-01,CL0725,4,RR00155,left_only
P100372,MA,POS,4,2025-09-30,2025-01-01,CL0475,5,RR00160,left_only
P100374,TX,PPO,4,2025-08-01,2025-01-01,CL0095,3,RR00240,left_only
P100375,FL,EPO,2,2025-04-14,2025-01-01,CL0499,4,RR00305,left_only
P100379,NJ,EPO,1,2026-01-15,2025-01-01,CL0926,1,RR00108,left_only
P100381,FL,POS,5,2026-12-06,2025-01-01,CL0372,1,RR00310,left_only
P100381,FL,POS,5,2026-12-06,2025-01-01,CL0285,1,RR00311,left_only
P100383,OH,PPO,4,2026-01-12,2025-01-01,CL0924,5,RR00376,left_only
P100388,PA,EPO,1,2026-01-09,2025-01-01,CL0211,5,RR00188,left_only
P100389,TX,HMO,4,2025-07-23,2025-01-01,CL0770,1,RR00251,left_only
P100389,TX,HMO,4,2025-07-23,2025-01-01,CL0333,1,RR00254,left_only
P100390,IL,EPO,5,2026-09-03,2025-01-01,CL0714,1,RR00344,left_only
P100390,IL,EPO,5,2026-09-03,2025-01-01,CL0325,1,RR00350,left_only
P100390,IL,EPO,5,2026-09-03,2025-01-01,CL0658,3,RR00351,left_only
P100394,OH,EPO,2,2025-07-08,2025-01-01,CL0692,1,RR00398,left_only
P100397,CA,POS,4,2025-10-27,2025-01-01,CL0429,2,RR00231,left_only
P100398,IL,PPO,2,2026-03-02,2025-01-01,CL0340,1,RR00323,left_only
P100401,CT,POS,3,2025-03-05,2025-01-01,CL0805,2,RR00044,left_only
P100403,PA,PPO,1,2026-10-05,2025-01-01,CL0716,5,RR00171,left_only
P100404,CA,PPO,2,2025-01-09,2025-01-01,CL0869,1,RR00200,left_only
P100406,NJ,EPO,5,2026-12-16,2025-01-01,CL0662,4,RR00105,left_only
P100406,NJ,EPO,5,2026-12-16,2025-01-01,CL0471,1,RR00106,left_only
P100407,OH,EPO,3,2026-02-13,2025-01-01,CL0563,1,RR00387,left_only
P100409,PA,POS,5,2026-05-21,2025-01-01,CL0510,1,RR00193,left_only
P100410,CA,POS,1,2026-11-17,2025-01-01,CL0602,1,RR00230,left_only
P100415,PA,HMO,5,2026-04-03,2025-01-01,CL0140,3,RR00178,left_only
P100416,OH,EPO,1,2025-06-06,2025-01-01,CL0354,4,RR00389,left_only
P100417,OH,EPO,4,2025-11-25,2025-01-01,CL0026,3,RR00390,left_only
P100418,PA,PPO,4,2026-07-27,2025-01-01,CL0943,5,RR00166,left_only
P100418,PA,PPO,4,2026-07-27,2025-01-01,CL0716,5,RR00171,left_only
P100419,TX,POS,2,2026-07-30,2025-01-01,CL0202,2,RR00268,left_only
P100421,CT,POS,3,2025-07-22,2025-01-01,CL0624,4,RR00040,left_only
P100425,OH,EPO,2,2025-11-14,2025-01-01,CL0049,2,RR00388,left_only
P100425,OH,EPO,2,2025-11-14,2025-01-01,CL0692,1,RR00398,left_only
P100429,NY,EPO,2,2026-09-17,2025-01-01,CL0710,2,RR00067,left_only
P100430,MA,EPO,2,2026-02-10,2025-01-01,CL0661,1,RR00144,left_only
P100431,OH,HMO,2,2025-03-11,2025-01-01,CL0449,5,RR00383,left_only
P100437,PA,HMO,5,2026-11-10,2025-01-01,CL0770,3,RR00177,left_only
P100440,TX,EPO,5,2026-06-08,2025-01-01,CL0206,5,RR00262,left_only
P100441,NY,POS,2,2025-08-31,2025-01-01,CL0331,4,RR00070,left_only
P100441,NY,POS,2,2025-08-31,2025-01-01,CL0937,4,RR00080,left_only
P100442,CT,HMO,3,2026-09-12,2025-01-01,CL0902,4,RR00015,left_only
P100446,NJ,PPO,3,2025-11-04,2025-01-01,CL0806,3,RR00090,left_only
P100446,NJ,PPO,3,2025-11-04,2025-01-01,CL0689,1,RR00091,left_only
P100447,CT,HMO,4,2026-10-07,2025-01-01,CL0902,4,RR00015,left_only
P100455,OH,HMO,2,2025-08-11,2025-01-01,CL0954,2,RR00385,left_only
P100462,OH,POS,4,2026-06-16,2025-01-01,CL0569,2,RR00402,left_only
P100464,OH,POS,1,2026-10-11,2025-01-01,CL0122,2,RR00401,left_only
P100466,OH,HMO,5,2025-06-03,2025-01-01,CL0382,3,RR00379,left_only
P100468,NJ,POS,1,2026-03-28,2025-01-01,CL0002,4,RR00124,left_only
P100469,IL,EPO,5,2025-06-18,2025-01-01,CL0164,1,RR00347,left_only
P100470,TX,EPO,3,2025-02-28,2025-01-01,CL0842,4,RR00256,left_only
P100473,PA,HMO,2,2026-07-04,2025-01-01,CL0416,4,RR00182,left_only
P100474,NY,PPO,1,2025-04-27,2025-01-01,CL0930,5,RR00047,left_only
P100477,IL,PPO,2,2026-02-03,2025-01-01,CL0384,3,RR00326,left_only
P100479,IL,PPO,4,2026-05-13,2025-01-01,CL0069,3,RR00317,left_only
P100481,OH,HMO,1,2026-02-02,2025-01-01,CL0382,3,RR00379,left_only
P100481,OH,HMO,1,2026-02-02,2025-01-01,CL0536,2,RR00384,left_only
P100482,PA,HMO,2,2025-09-22,2025-01-01,CL0371,2,RR00174,left_only
P100483,IL,PPO,2,2025-09-20,2025-01-01,CL0384,3,RR00326,left_only
P100484,FL,POS,1,2026-02-02,2025-01-01,CL0355,5,RR00308,left_only
P100485,NJ,HMO,4,2026-10-08,2025-01-01,CL0388,5,RR00093,left_only
P100485,NJ,HMO,4,2026-10-08,2025-01-01,CL0760,3,RR00095,left_only
P100491,TX,HMO,2,2026-09-26,2025-01-01,CL0188,5,RR00245,left_only
P100491,TX,HMO,2,2026-09-26,2025-01-01,CL0653,5,RR00252,left_only
P100492,FL,HMO,3,2025-08-29,2025-01-01,CL0334,5,RR00294,left_only
P100492,FL,HMO,3,2025-08-29,2025-01-01,CL0573,2,RR00300,left_only
P100498,IL,PPO,1,2025-05-15,2025-01-01,CL0068,1,RR00321,left_only
P100498,IL,PPO,1,2025-05-15,2025-01-01,CL0270,2,RR00322,left_only
P100499,NJ,EPO,1,2026-01-21,2025-01-01,CL0926,1,RR00108,left_only
P100502,CT,EPO,4,2026-07-16,2025-01-01,CL0859,3,RR00031,left_only
P100509,IL,EPO,3,2026-12-05,2025-01-01,CL0908,4,RR00345,left_only
P100511,IL,POS,3,2025-04-23,2025-01-01,CL0631,5,RR00369,left_only
P100512,TX,HMO,5,2025-02-05,2025-01-01,CL0156,5,RR00249,left_only
P100513,MA,HMO,1,2025-03-20,2025-01-01,CL0734,5,RR00135,left_only
P100514,NJ,EPO,3,2025-10-02,2025-01-01,CL0662,4,RR00105,left_only
P100514,NJ,EPO,3,2025-10-02,2025-01-01,CL0471,1,RR00106,left_only
P100514,NJ,EPO,3,2025-10-02,2025-01-01,CL0441,5,RR00112,left_only
P100517,PA,PPO,4,2025-11-08,2025-01-01,CL0563,5,RR00163,left_only
P100520,MA,HMO,2,2025-01-17,2025-01-01,CL0387,1,RR00143,left_only
P100521,PA,HMO,2,2026-12-15,2025-01-01,CL0416,4,RR00182,left_only
P100525,IL,EPO,5,2026-05-14,2025-01-01,CL0767,2,RR00352,left_only
P100525,IL,EPO,5,2026-05-14,2025-01-01,CL0531,3,RR00354,left_only
P100528,OH,PPO,3,2025-03-19,2025-01-01,CL0603,4,RR00372,left_only
P100530,TX,HMO,4,2025-03-21,2025-01-01,CL0554,1,RR00248,left_only
P100530,TX,HMO,4,2025-03-21,2025-01-01,CL0156,5,RR00249,left_only
P100533,NJ,EPO,1,2026-06-14,2025-01-01,CL0964,2,RR00116,left_only
P100536,IL,HMO,5,2025-05-15,2025-01-01,CL0696,4,RR00339,left_only
P100538,OH,HMO,5,2026-08-04,2025-01-01,CL0382,3,RR00379,left_only
P100539,CT,HMO,3,2025-03-24,2025-01-01,CL0043,5,RR00014,left_only
P100540,CA,POS,4,2026-09-13,2025-01-01,CL0793,4,RR00228,left_only
P100541,TX,EPO,3,2025-02-13,2025-01-01,CL0842,4,RR00256,left_only
P100541,TX,EPO,3,2025-02-13,2025-01-01,CL0311,4,RR00258,left_only
P100542,FL,PPO,5,2026-04-28,2025-01-01,CL0273,4,RR00289,left_only
P100543,OH,HMO,3,2026-10-06,2025-01-01,CL0449,5,RR00383,left_only
P100544,IL,EPO,4,2026-05-08,2025-01-01,CL0658,3,RR00351,left_only
P100549,PA,PPO,3,2025-05-28,2025-01-01,CL0006,5,RR00170,left_only
P100552,FL,PPO,4,2026-07-17,2025-01-01,CL0050,2,RR00281,left_only
P100556,CT,HMO,5,2025-05-21,2025-01-01,CL0902,4,RR00015,left_only
P100556,CT,HMO,5,2025-05-21,2025-01-01,CL0618,5,RR00019,left_only
P100558,IL,EPO,1,2026-05-21,2025-01-01,CL0946,2,RR00355,left_only
P100561,CA,PPO,1,2026-09-02,2025-01-01,CL0774,2,RR00197,left_only
P100562,NJ,POS,5,2026-11-01,2025-01-01,CL0554,1,RR00123,left_only
P100564,TX,POS,2,2025-02-02,2025-01-01,CL0096,5,RR00270,left_only
P100566,OH,POS,4,2025-11-26,2025-01-01,CL0569,2,RR00402,left_only
P100568,TX,POS,3,2025-03-12,2025-01-01,CL0533,2,RR00266,left_only
P100568,TX,POS,3,2025-03-12,2025-01-01,CL0274,4,RR00274,left_only
P100571,OH,HMO,5,2025-03-20,2025-01-01,CL0659,3,RR00378,left_only
P100574,IL,EPO,4,2026-09-20,2025-01-01,CL0531,3,RR00354,left_only
P100575,TX,HMO,5,2025-09-17,2025-01-01,CL0434,5,RR00250,left_only
P100577,NJ,PPO,2,2025-01-05,2025-01-01,CL0023,5,RR00084,left_only
P100577,NJ,PPO,2,2025-01-05,2025-01-01,CL0689,1,RR00091,left_only
P100578,IL,PPO,5,2025-10-24,2025-01-01,CL0270,2,RR00322,left_only
P100578,IL,PPO,5,2025-10-24,2025-01-01,CL0078,2,RR00324,left_only
P100581,FL,PPO,1,2025-04-27,2025-01-01,CL0796,4,RR00285,left_only
P100586,OH,POS,5,2026-10-16,2025-01-01,CL0122,2,RR00401,left_only
P100587,PA,EPO,3,2025-07-07,2025-01-01,CL0211,5,RR00188,left_only
P100588,CA,EPO,2,2025-10-08,2025-01-01,CL0973,2,RR00214,left_only
P100589,PA,EPO,1,2026-05-26,2025-01-01,CL0211,5,RR00188,left_only
P100592,NJ,PPO,3,2025-08-24,2025-01-01,CL0023,5,RR00084,left_only
P100592,NJ,PPO,3,2025-08-24,2025-01-01,CL0045,4,RR00087,left_only
P100592,NJ,PPO,3,2025-08-24,2025-01-01,CL0689,1,RR00091,left_only
P100595,IL,POS,4,2025-07-18,2025-01-01,CL0393,1,RR00368,left_only
P100596,NY,PPO,3,2025-02-19,2025-01-01,CL0654,3,RR00046,left_only
P100596,NY,PPO,3,2025-02-19,2025-01-01,CL0641,4,RR00054,left_only
P100599,CT,EPO,3,2026-05-29,2025-01-01,CL0859,3,RR00031,left_only
P100600,PA,EPO,1,2026-11-01,2025-01-01,CL0211,5,RR00188,left_only
P100601,CA,EPO,3,2025-01-30,2025-01-01,CL0175,2,RR00215,left_only
P100603,NJ,POS,3,2025-01-31,2025-01-01,CL0294,1,RR00117,left_only
P100605,IL,PPO,2,2026-10-22,2025-01-01,CL0391,2,RR00318,left_only
P100606,OH,EPO,4,2025-06-26,2025-01-01,CL0050,2,RR00397,left_only
P100608,CA,HMO,5,2026-07-01,2025-01-01,CL0489,2,RR00203,left_only
P100608,CA,HMO,5,2026-07-01,2025-01-01,CL0386,5,RR00208,left_only
P100608,CA,HMO,5,2026-07-01,2025-01-01,CL0497,2,RR00212,left_only
P100613,MA,POS,3,2025-08-15,2025-01-01,CL0274,3,RR00152,left_only
P100616,OH,HMO,4,2026-03-21,2025-01-01,CL0234,3,RR00386,left_only
P100620,MA,POS,4,2026-06-04,2025-01-01,CL0475,5,RR00160,left_only
P100624,CT,HMO,2,2025-02-01,2025-01-01,CL0331,2,RR00016,left_only
P100626,MA,EPO,5,2026-06-03,2025-01-01,CL0661,1,RR00144,left_only
P100628,CA,PPO,1,2025-08-08,2025-01-01,CL0036,5,RR00199,left_only
P100632,IL,HMO,1,2026-07-11,2025-01-01,CL0828,4,RR00331,left_only
P100632,IL,HMO,1,2026-07-11,2025-01-01,CL0701,3,RR00332,left_only
P100636,NY,HMO,1,2026-04-04,2025-01-01,CL0170,5,RR00056,left_only
P100639,FL,POS,2,2025-11-27,2025-01-01,CL0762,3,RR00309,left_only
P100641,CA,HMO,1,2026-10-04,2025-01-01,CL0349,2,RR00202,left_only
