Policy_ID,State,Product,Policy_Version,Effective_Date,Employer_Size,Market_Segment,Status
P100043,IL,EPO,3,2025-03-14,Small,Medicare,Active
P100044,OH,EPO,5,2025-06-16,Large,Commercial,Active
P100045,PA,EPO,2,2025-08-13,Large,Commercial,Active
P100046,NY,HMO,1,2026-07-31,Small,Medicaid,Active
P100047,MA,HMO,3,2026-08-04,Large,Commercial,Active
P100048,TX,POS,3,2025-01-09,Small,Commercial,Expired
P100049,FL,EPO,5,2025-08-24,Small,Medicaid,Active
P100050,NJ,EPO,3,2026-12-11,Small,Commercial,Active
P100051,CT,PPO,2,2026-11-16,Large,Medicare,Active
P100052,MA,POS,3,2025-01-28,Small,Commercial,Active
P100053,NY,PPO,4,2026-10-08,Large,Commercial,Active
P100054,FL,POS,2,2025-01-27,Small,Medicaid,Expired
P100055,MA,POS,1,2026-07-04,Large,Commercial,Expired
P100056,NY,HMO,1,2025-07-15,Large,Commercial,Active
P100057,CA,HMO,5,2025-07-22,Small,Medicaid,Expired
P100058,CA,PPO,5,2025-03-26,Large,Commercial,Active
P100059,OH,POS,4,2025-01-30,Small,Medicare,Active
P100060,MA,EPO,1,2026-04-11,Small,Medicare,Active
P100061,CA,HMO,1,2025-04-09,Small,Commercial,Active
P100062,NY,EPO,1,2025-07-09,Small,Commercial,Active
P100063,OH,PPO,1,2025-01-12,Large,Commercial,Expired
P100064,NY,HMO,3,2026-08-26,Small,Medicare,Active
P100065,OH,HMO,2,2025-01-30,Small,Commercial,Active
P100066,MA,POS,2,2026-12-26,Small,Commercial,Active
P100067,FL,PPO,4,2025-02-07,Small,Commercial,Active
P100068,TX,POS,3,2026-07-26,Small,Commercial,Expired
P100069,IL,HMO,1,2025-10-21,Large,Commercial,Active
P100070,FL,PPO,1,2025-12-26,Large,Medicaid,Active
P100071,PA,HMO,5,2026-10-17,Small,Commercial,Expired
P100072,NY,PPO,5,2025-06-29,Small,Commercial,Active
P100073,PA,HMO,4,2025-04-22,Small,Medicare,Active
P100074,FL,EPO,1,2026-03-20,Large,Commercial,Active
P100075,OH,EPO,4,2025-01-21,Small,Medicaid,Active
P100076,IL,POS,3,2025-05-25,Small,Commercial,Active
P100077,IL,EPO,2,2026-05-14,Large,Commercial,Active
P100078,CT,HMO,1,2025-05-26,Small,Medicaid,Active
P100079,IL,HMO,3,2026-03-17,Small,Commercial,Active
P100080,TX,EPO,1,2026-02-25,Large,Commercial,Active
P100081,IL,POS,5,2025-11-12,Small,Commercial,Active
P100082,FL,EPO,4,2025-06-15,Small,Medicaid,Active
P100083,CT,PPO,5,2026-10-14,Small,Medicare,Expired
P100084,FL,PPO,2,2025-07-22,Small,Commercial,Active
P100085,FL,PPO,5,2026-05-11,Small,Medicare,Active
P100086,NJ,EPO,1,2026-09-17,Large,Commercial,Active
P100087,CT,EPO,5,2026-04-13,Small,Commercial,Active
P100088,FL,EPO,1,2026-12-14,Large,Medicare,Active
P100089,NJ,PPO,2,2026-01-20,Small,Medicare,Expired
P100090,NJ,POS,5,2025-11-10,Small,Commercial,Active
P100091,CT,HMO,4,2025-09-12,Small,Commercial,Active
P100092,PA,EPO,4,2025-01-23,Small,Commercial,Active
P100093,OH,POS,4,2025-12-05,Small,Medicare,Active
P100094,TX,HMO,5,2026-05-08,Small,Medicare,Active
P100095,OH,HMO,5,2026-05-26,Small,Commercial,Active
P100096,IL,HMO,5,2026-01-01,Small,Medicare,Active
P100097,TX,POS,1,2026-01-07,Large,Medicare,Active
P100098,IL,POS,2,2026-08-22,Small,Medicare,Active
P100099,FL,PPO,4,2025-08-07,Small,Commercial,Active
P100100,NY,POS,1,2026-04-20,Small,Commercial,Expired
P100101,CT,POS,4,2026-02-27,Small,Commercial,Active
P100102,TX,POS,1,2025-12-22,Large,Commercial,Expired
P100103,TX,HMO,5,2026-04-05,Small,Medicare,Active
P100104,FL,EPO,4,2026-05-18,Small,Medicaid,Active
P100105,PA,PPO,5,2025-01-27,Small,Commercial,Active
P100106,NJ,EPO,4,2025-08-11,Large,Medicaid,Active
P100107,FL,EPO,3,2026-11-21,Small,Commercial,Active
P100108,CA,POS,1,2025-05-28,Small,Commercial,Active
P100109,NJ,PPO,3,2026-02-28,Small,Commercial,Expired
P100110,CT,EPO,1,2025-12-17,Small,Commercial,Active
P100111,NJ,EPO,2,2025-07-05,Small,Commercial,Active
P100112,PA,PPO,4,2026-02-19,Large,Commercial,Active
P100113,NJ,POS,2,2026-03-05,Large,Medicaid,Expired
P100114,CT,EPO,2,2025-02-10,Small,Commercial,Active
P100115,PA,HMO,1,2026-01-28,Small,Commercial,Expired
P100116,OH,EPO,3,2026-12-04,Small,Commercial,Active
P100117,TX,HMO,5,2025-03-20,Small,Medicaid,Active
P100118,TX,POS,1,2026-12-18,Small,Commercial,Expired
P100119,IL,EPO,5,2026-06-28,Small,Medicaid,Active
P100120,OH,PPO,2,2026-03-26,Large,Commercial,Expired
P100121,OH,PPO,5,2026-04-19,Small,Commercial,Active
P100122,NJ,EPO,3,2025-05-22,Large,Medicare,Active
P100123,TX,POS,1,2025-09-08,Small,Commercial,Expired
P100124,CT,POS,3,2025-10-21,Small,Commercial,Active
P100125,MA,PPO,3,2026-09-02,Small,Commercial,Active
P100126,MA,EPO,1,2025-05-16,Large,Commercial,Active
P100127,PA,POS,3,2026-04-29,Small,Medicare,Active
P100128,TX,PPO,4,2025-11-08,Large,Commercial,Active
P100129,TX,HMO,4,2026-07-09,Large,Commercial,Active
P100130,MA,EPO,4,2026-09-24,Large,Commercial,Active
P100131,TX,HMO,5,2025-02-15,Large,Commercial,Active
P100132,NJ,HMO,3,2025-08-24,Large,Commercial,Active
P100133,CA,POS,1,2025-02-17,Large,Commercial,Active
P100134,NY,POS,1,2025-07-17,Small,Commercial,Active
P100135,OH,POS,5,2025-03-25,Large,Commercial,Expired
P100136,IL,EPO,1,2026-06-27,Large,Commercial,Expired
P100137,PA,HMO,4,2025-06-10,Small,Commercial,Active
P100138,CA,EPO,3,2026-03-04,Large,Commercial,Active
P100139,MA,POS,1,2025-03-12,Small,Medicare,Active
P100140,OH,HMO,1,2026-06-04,Small,Commercial,Active
P100141,TX,EPO,2,2025-02-21,Small,Medicaid,Active
P100142,IL,EPO,2,2025-02-14,Small,Commercial,Active
P100143,TX,PPO,2,2025-10-20,Large,Medicare,Active
P100144,CT,EPO,3,2026-04-10,Large,Commercial,Active
P100145,CT,POS,4,2026-07-04,Large,Commercial,Active
P100146,IL,EPO,4,2026-01-15,Large,Medicare,Expired
P100147,IL,HMO,4,2026-04-23,Small,Medicare,Active
P100148,MA,EPO,3,2025-09-19,Small,Commercial,Active
P100149,IL,PPO,3,2026-08-03,Small,Commercial,Active
P100150,NJ,HMO,2,2025-06-28,Large,Commercial,Active
P100151,TX,HMO,1,2025-12-23,Small,Commercial,Active
P100152,CA,PPO,5,2026-02-23,Large,Commercial,Expired
P100153,FL,POS,5,2026-11-29,Large,Medicare,Active
P100154,IL,HMO,1,2025-07-20,Large,Commercial,Active
P100155,PA,POS,2,2025-01-13,Small,Commercial,Active
P100156,CT,HMO,1,2026-03-19,Small,Commercial,Active
P100157,NJ,HMO,1,2026-12-27,Large,Medicare,Active
P100158,OH,POS,5,2025-10-13,Large,Medicare,Active
P100159,FL,HMO,2,2025-09-15,Small,Commercial,Expired
P100160,CA,POS,3,2026-07-24,Large,Commercial,Active
P100161,FL,PPO,5,2026-07-02,Large,Commercial,Active
P100162,IL,POS,3,2026-05-05,Small,Commercial,Expired
P100163,MA,PPO,2,2026-05-13,Small,Commercial,Active
P100164,CT,HMO,1,2026-12-06,Small,Medicare,Active
P100165,CT,POS,4,2025-11-29,Small,Medicare,Active
P100166,OH,HMO,4,2026-07-16,Large,Commercial,Active
P100167,MA,POS,2,2025-02-01,Small,Commercial,Active
P100168,TX,PPO,4,2026-09-02,Large,Commercial,Active
P100169,NY,PPO,3,2025-02-12,Large,Commercial,Active
P100170,NJ,POS,4,2025-12-17,Small,Medicaid,Active
P100171,CT,PPO,2,2025-11-30,Small,Commercial,Active
P100172,PA,HMO,2,2026-07-13,Small,Commercial,Active
P100173,CT,HMO,3,2025-09-27,Small,Medicare,Active
P100174,FL,EPO,4,2026-02-17,Small,Commercial,Active
P100175,CT,PPO,4,2026-07-29,Large,Medicare,Expired
P100176,CT,HMO,1,2025-01-19,Small,Medicare,Expired
P100177,NY,POS,5,2025-12-13,Small,Medicare,Active
P100178,NY,PPO,2,2026-09-05,Small,Commercial,Expired
P100179,CA,HMO,1,2025-02-06,Small,Commercial,Expired
P100180,TX,PPO,2,2026-09-11,Small,Commercial,Active
P100181,PA,POS,1,2025-04-02,Large,Commercial,Active
P100182,CT,HMO,5,2025-07-04,Small,Medicare,Active
P100183,CT,EPO,1,2026-12-29,Large,Commercial,Active
P100184,NJ,EPO,2,2025-01-28,Small,Commercial,Active
P100185,NY,PPO,4,2026-07-02,Large,Commercial,Active
P100186,PA,POS,2,2026-01-07,Large,Medicare,Active
P100187,OH,HMO,3,2026-06-14,Small,Commercial,Active
P100188,CA,POS,3,2025-12-11,Small,Commercial,Active
P100189,TX,HMO,3,2026-02-23,Small,Commercial,Expired
P100190,MA,PPO,3,2025-07-15,Large,Medicare,Active
P100191,TX,HMO,5,2025-03-19,Large,Commercial,Active
P100192,FL,POS,4,2025-06-16,Small,Commercial,Active
P100193,CT,POS,4,2025-03-31,Small,Commercial,Active
P100194,CA,PPO,2,2025-09-21,Large,Commercial,Active
P100195,FL,POS,1,2026-04-17,Large,Medicare,Active
P100196,PA,HMO,2,2025-07-27,Large,Medicare,Active
P100197,MA,PPO,2,2026-12-25,Large,Commercial,Expired
P100198,NY,HMO,2,2025-09-28,Small,Commercial,Active
P100199,CA,POS,2,2025-09-20,Large,Commercial,Expired
P100200,CA,PPO,4,2026-05-21,Large,Medicaid,Active
P100201,CT,HMO,1,2026-05-27,Large,Commercial,Active
P100202,IL,POS,2,2026-12-27,Small,Medicare,Active
P100203,CA,POS,4,2026-07-30,Small,Medicare,Active
P100204,NJ,EPO,2,2026-06-08,Small,Medicare,Active
P100205,MA,POS,3,2026-12-23,Small,Medicaid,Active
P100206,MA,HMO,2,2025-11-08,Small,Commercial,Active
P100207,NJ,PPO,2,2025-06-23,Large,Medicaid,Active
P100208,OH,EPO,5,2026-03-07,Small,Medicare,Active
P100209,NJ,POS,3,2026-04-08,Small,Commercial,Active
P100210,NJ,POS,1,2025-04-11,Large,Medicare,Expired
P100211,MA,POS,2,2025-01-16,Large,Medicare,Active
P100212,TX,HMO,1,2026-12-10,Small,Medicare,Active
P100213,MA,EPO,3,2025-09-15,Small,Commercial,Active
P100214,IL,HMO,2,2025-09-01,Large,Commercial,Active
P100215,CT,EPO,5,2025-12-14,Large,Commercial,Active
P100216,FL,PPO,4,2025-09-06,Small,Medicare,Expired
P100217,TX,HMO,5,2025-04-15,Small,Medicaid,Active
P100218,NY,HMO,5,2026-11-25,Small,Commercial,Active
P100219,FL,PPO,4,2026-10-29,Large,Commercial,Active
P100220,CT,EPO,4,2025-10-14,Small,Medicare,Active
P100221,IL,POS,4,2025-06-18,Small,Commercial,Active
P100222,IL,PPO,2,2026-02-24,Small,Commercial,Expired
P100223,NY,POS,1,2025-02-16,Large,Medicare,Active
P100224,TX,POS,1,2025-02-12,Small,Commercial,Expired
P100225,OH,PPO,4,2025-11-17,Small,Commercial,Active
P100226,NJ,EPO,5,2025-08-09,Large,Medicare,Active
P100227,TX,POS,3,2026-05-28,Small,Commercial,Active
P100228,OH,PPO,4,2026-12-13,Small,Medicare,Active
P100229,IL,HMO,5,2026-03-17,Large,Commercial,Active
P100230,MA,HMO,5,2025-05-24,Small,Commercial,Expired
P100231,CT,HMO,2,2025-01-28,Large,Commercial,Active
P100232,NY,PPO,2,2026-07-07,Small,Commercial,Active
P100233,CT,HMO,1,2026-10-21,Small,Commercial,Active
P100234,PA,POS,1,2026-11-21,Large,Commercial,Expired
P100235,PA,HMO,3,2025-06-16,Small,Commercial,Expired
P100236,TX,HMO,3,2026-09-27,Large,Commercial,Active
P100237,IL,POS,3,2026-08-09,Small,Commercial,Active
P100238,IL,HMO,3,2025-09-06,Small,Commercial,Active
P100239,NJ,POS,5,2025-12-23,Large,Commercial,Active
P100240,NJ,HMO,5,2025-04-21,Small,Commercial,Active
P100241,NJ,POS,1,2026-11-23,Small,Commercial,Active
P100242,MA,HMO,2,2026-12-01,Small,Commercial,Expired
P100243,FL,POS,2,2026-12-20,Small,Medicaid,Active
P100244,CA,PPO,4,2025-08-22,Large,Commercial,Active
P100245,FL,POS,5,2025-01-24,Large,Commercial,Active
P100246,CT,HMO,3,2025-01-26,Large,Medicare,Active
P100247,FL,HMO,3,2026-01-16,Large,Commercial,Expired
P100248,MA,EPO,4,2026-12-31,Small,Commercial,Active
P100249,CT,POS,2,2025-12-12,Small,Commercial,Active
P100250,FL,PPO,3,2026-01-13,Large,Commercial,Active
P100251,MA,POS,2,2026-06-06,Small,Commercial,Active
P100252,CA,POS,4,2025-01-17,Small,Commercial,Active
P100253,FL,PPO,2,2025-09-02,Large,Medicare,Active
P100254,MA,POS,2,2026-12-19,Small,Commercial,Expired
P100255,NJ,PPO,2,2026-09-16,Small,Commercial,Active
P100256,IL,PPO,3,2026-12-18,Small,Commercial,Active
P100257,NJ,POS,1,2026-06-23,Large,Commercial,Active
P100258,IL,POS,5,2026-08-06,Small,Commercial,Active
P100259,NY,HMO,2,2026-11-19,Small,Medicare,Active
P100260,NY,HMO,2,2025-07-21,Large,Medicaid,Active
P100261,NY,EPO,2,2025-09-05,Large,Medicare,Active
P100262,CA,EPO,1,2025-04-28,Large,Commercial,Active
P100263,NJ,POS,4,2025-01-09,Small,Medicaid,Active
P100264,IL,PPO,3,2026-08-21,Small,Commercial,Active
P100265,MA,EPO,1,2025-01-23,Small,Commercial,Active
P100266,CT,POS,2,2025-08-28,Small,Commercial,Expired
P100267,MA,EPO,1,2026-08-08,Small,Medicare,Active
P100268,CT,PPO,1,2025-01-27,Small,Commercial,Active
P100269,PA,POS,1,2025-03-22,Small,Commercial,Active
P100270,MA,PPO,4,2026-08-19,Large,Medicare,Active
P100271,FL,POS,5,2025-07-18,Large,Commercial,Active
P100272,FL,EPO,3,2026-07-09,Small,Commercial,Active
P100273,TX,HMO,4,2025-04-02,Small,Commercial,Active
P100274,NJ,EPO,4,2025-03-25,Small,Commercial,Active
P100275,CT,EPO,5,2025-10-27,Small,Commercial,Active
P100276,CT,HMO,4,2025-10-23,Small,Commercial,Active
P100277,NJ,HMO,1,2026-10-09,Small,Commercial,Expired
P100278,CA,POS,1,2026-03-30,Large,Medicare,Active
P100279,TX,POS,2,2025-10-08,Large,Medicaid,Active
P100280,CA,PPO,4,2025-02-28,Large,Medicaid,Active
P100281,CA,PPO,2,2025-12-08,Large,Commercial,Expired
P100282,CA,EPO,3,2026-04-10,Large,Commercial,Active
P100283,NJ,HMO,1,2025-12-08,Large,Commercial,Active
P100284,CA,PPO,3,2026-09-02,Small,Medicare,Active
P100285,FL,EPO,5,2025-03-03,Small,Medicaid,Expired
P100286,NY,HMO,1,2026-09-17,Large,Medicare,Active
P100287,PA,POS,3,2026-03-05,Small,Commercial,Active
P100288,CT,EPO,5,2026-10-20,Large,Commercial,Active
P100289,CT,POS,3,2026-12-29,Large,Medicare,Active
P100290,PA,PPO,5,2025-09-13,Large,Commercial,Expired
P100291,NJ,PPO,5,2026-12-07,Small,Commercial,Expired
P100292,MA,HMO,1,2025-12-13,Small,Medicare,Active
P100293,NJ,EPO,2,2026-06-10,Large,Commercial,Active
P100294,CT,POS,5,2025-10-31,Large,Commercial,Active
P100295,CT,HMO,5,2026-09-07,Small,Commercial,Active
P100296,PA,PPO,1,2025-09-02,Large,Commercial,Active
P100297,CA,PPO,2,2026-02-16,Large,Commercial,Active
P100298,NJ,EPO,4,2025-08-05,Small,Commercial,Active
P100299,IL,POS,4,2026-05-31,Large,Medicare,Expired
P100300,PA,EPO,2,2026-04-19,Small,Commercial,Active
P100301,FL,POS,3,2025-02-05,Small,Commercial,Active
P100302,CT,POS,1,2025-06-27,Small,Commercial,Active
P100303,PA,EPO,2,2026-01-22,Large,Commercial,Active
P100304,NJ,HMO,4,2025-01-17,Large,Commercial,Expired
P100305,CT,EPO,5,2026-12-12,Small,Medicare,Active
P100306,MA,EPO,4,2025-02-17,Large,Commercial,Active
P100307,PA,PPO,5,2025-03-03,Large,Commercial,Expired
P100308,TX,PPO,1,2025-03-10,Large,Medicare,Active
P100309,CT,EPO,5,2026-10-21,Small,Commercial,Expired
P100310,NJ,EPO,2,2026-01-01,Small,Commercial,Active
P100311,NY,PPO,5,2025-06-11,Small,Commercial,Active
P100312,IL,POS,3,2026-05-03,Large,Commercial,Active
P100313,OH,EPO,2,2026-03-07,Small,Commercial,Expired
P100314,CA,HMO,1,2026-05-04,Large,Commercial,Active
P100315,OH,HMO,2,2025-08-18,Large,Commercial,Active
P100316,NJ,HMO,3,2026-01-05,Large,Medicaid,Expired
P100317,FL,EPO,1,2025-06-27,Large,Commercial,Active
P100318,FL,POS,4,2026-02-14,Small,Commercial,Active
P100319,NY,POS,3,2026-07-22,Large,Commercial,Active
P100320,CA,PPO,1,2026-08-13,Small,Commercial,Active
P100321,TX,EPO,5,2025-09-27,Large,Commercial,Active
P100322,NY,POS,2,2025-07-25,Large,Commercial,Expired
P100323,OH,EPO,1,2025-03-23,Large,Medicaid,Expired
P100324,NY,PPO,2,2025-07-12,Large,Medicare,Active
P100325,OH,PPO,5,2026-09-10,Small,Commercial,Active
P100326,CT,PPO,1,2025-07-08,Small,Medicare,Active
P100327,FL,HMO,4,2025-10-03,Large,Commercial,Active
P100328,CT,EPO,3,2025-03-15,Small,Commercial,Active
P100329,IL,PPO,1,2025-01-10,Small,Medicaid,Expired
P100330,CA,EPO,5,2026-09-27,Small,Medicaid,Active
P100331,TX,HMO,1,2025-08-04,Small,Commercial,Active
P100332,OH,HMO,2,2025-10-17,Small,Commercial,Active
P100333,TX,PPO,1,2026-03-21,Large,Commercial,Active
P100334,OH,PPO,4,2026-07-06,Large,Commercial,Active
P100335,NJ,POS,1,2025-07-12,Small,Medicare,Active
P100336,NY,EPO,3,2026-10-01,Large,Commercial,Active
P100337,IL,PPO,1,2025-10-16,Small,Commercial,Active
P100338,FL,POS,2,2026-08-06,Small,Commercial,Active
P100339,OH,EPO,1,2026-10-11,Large,Commercial,Active
P100340,TX,PPO,4,2025-05-24,Large,Medicare,Active
P100341,IL,POS,5,2026-01-24,Small,Medicare,Active
P100342,MA,POS,1,2026-02-11,Large,Commercial,Active
P100343,MA,EPO,1,2026-01-05,Large,Commercial,Expired
P100344,CT,POS,3,2026-03-17,Small,Commercial,Active
P100345,FL,EPO,4,2026-10-13,Small,Commercial,Active
P100346,NJ,EPO,5,2026-07-18,Large,Commercial,Active
P100347,TX,EPO,2,2026-06-13,Small,Commercial,Active
P100348,NY,HMO,1,2026-11-08,Small,Commercial,Active
P100349,NY,POS,5,2025-01-13,Large,Commercial,Active
P100350,TX,EPO,2,2026-12-03,Small,Medicare,Expired
P100351,CA,PPO,4,2025-12-06,Small,Commercial,Active
P100352,NJ,HMO,4,2025-11-08,Small,Medicare,Active
P100353,IL,HMO,5,2025-04-14,Large,Commercial,Active
P100354,OH,POS,2,2025-12-05,Small,Medicare,Active
P100355,CA,EPO,4,2025-07-17,Small,Commercial,Active
P100356,OH,POS,5,2025-10-27,Small,Medicare,Active
P100357,OH,HMO,4,2026-03-20,Small,Commercial,Active
P100358,CA,EPO,4,2025-12-25,Large,Medicaid,Active
P100359,CT,PPO,4,2026-01-03,Large,Medicare,Active
P100360,MA,EPO,3,2025-06-18,Small,Commercial,Active
P100361,OH,HMO,2,2025-05-29,Large,Commercial,Active
P100362,CA,PPO,5,2025-02-11,Large,Medicare,Active
P100363,CA,EPO,5,2025-07-21,Large,Medicaid,Active
P100364,PA,PPO,2,2025-09-01,Small,Medicare,Expired
P100365,CT,PPO,2,2026-10-31,Small,Medicare,Active
P100366,FL,HMO,2,2026-04-09,Large,Medicare,Active
P100367,PA,PPO,2,2026-03-25,Small,Commercial,Active
P100368,PA,POS,1,2026-03-13,Small,Commercial,Active
P100369,TX,HMO,5,2026-06-15,Large,Commercial,Active
P100370,MA,POS,1,2026-07-19,Large,Commercial,Active
P100371,CA,PPO,4,2026-08-20,Small,Commercial,Expired
P100372,MA,POS,4,2025-09-30,Large,Commercial,Expired
P100373,NJ,EPO,5,2026-03-06,Small,Commercial,Active
P100374,TX,PPO,4,2025-08-01,Large,Commercial,Active
P100375,FL,EPO,2,2025-04-14,Small,Commercial,Active
P100376,MA,POS,1,2025-07-11,Small,Commercial,Active
P100377,NY,EPO,2,2026-11-20,Small,Commercial,Active
P100378,OH,PPO,4,2026-10-21,Small,Commercial,Active
P100379,NJ,EPO,1,2026-01-15,Small,Medicare,Active
P100380,CT,POS,2,2025-03-22,Small,Commercial,Active
P100381,FL,POS,5,2026-12-06,Large,Medicare,Active
P100382,NJ,POS,2,2026-07-03,Small,Commercial,Expired
P100383,OH,PPO,4,2026-01-12,Large,Commercial,Active
P100384,TX,POS,1,2025-06-03,Small,Commercial,Active
P100385,OH,PPO,5,2026-10-04,Large,Commercial,Active
P100386,PA,EPO,1,2026-07-25,Small,Commercial,Active
P100387,OH,POS,5,2025-08-28,Small,Commercial,Active
P100388,PA,EPO,1,2026-01-09,Small,Medicare,Active
P100389,TX,HMO,4,2025-07-23,Small,Medicaid,Active
P100390,IL,EPO,5,2026-09-03,Large,Medicaid,Active
P100391,PA,HMO,3,2025-12-16,Large,Medicaid,Active
P100392,CT,EPO,1,2026-11-19,Small,Commercial,Active
P100393,OH,PPO,1,2025-05-23,Small,Commercial,Active
P100394,OH,EPO,2,2025-07-08,Small,Commercial,Expired
P100395,CT,PPO,5,2025-09-29,Small,Commercial,Active
P100396,NY,PPO,3,2026-06-16,Large,Medicare,Active
P100397,CA,POS,4,2025-10-27,Small,Medicare,Active
P100398,IL,PPO,2,2026-03-02,Small,Medicare,Active
P100399,FL,HMO,3,2025-02-15,Small,Medicare,Active
P100400,PA,POS,5,2025-04-05,Small,Commercial,Active
P100401,CT,POS,3,2025-03-05,Small,Commercial,Active
P100402,TX,EPO,1,2026-02-17,Small,Commercial,Active
P100403,PA,PPO,1,2026-10-05,Small,Medicaid,Active
P100404,CA,PPO,2,2025-01-09,Small,Medicaid,Expired
P100405,TX,HMO,5,2026-04-04,Small,Commercial,Active
P100406,NJ,EPO,5,2026-12-16,Large,Commercial,Active
P100407,OH,EPO,3,2026-02-13,Small,Commercial,Expired
P100408,NJ,POS,2,2026-04-15,Small,Commercial,Active
P100409,PA,POS,5,2026-05-21,Small,Medicare,Expired
P100410,CA,POS,1,2026-11-17,Small,Commercial,Active
P100411,IL,HMO,3,2025-03-14,Small,Commercial,Active
P100412,PA,HMO,4,2025-03-25,Large,Commercial,Active
P100413,CT,POS,1,2025-02-28,Large,Medicaid,Active
P100414,MA,EPO,2,2025-01-21,Small,Commercial,Active
P100415,PA,HMO,5,2026-04-03,Large,Commercial,Expired
P100416,OH,EPO,1,2025-06-06,Small,Commercial,Expired
P100417,OH,EPO,4,2025-11-25,Small,Commercial,Active
P100418,PA,PPO,4,2026-07-27,Large,Commercial,Active
P100419,TX,POS,2,2026-07-30,Large,Medicare,Active
P100420,MA,PPO,1,2026-11-11,Large,Medicare,Active
P100421,CT,POS,3,2025-07-22,Small,Commercial,Active
P100422,PA,POS,1,2026-10-03,Small,Commercial,Active
P100423,TX,EPO,4,2025-04-16,Small,Medicare,Active
P100424,OH,POS,2,2025-05-02,Large,Commercial,Active
P100425,OH,EPO,2,2025-11-14,Small,Commercial,Active
P100426,CA,EPO,3,2025-07-01,Large,Commercial,Active
P100427,PA,POS,2,2026-09-07,Small,Commercial,Active
P100428,MA,EPO,2,2025-11-12,Small,Commercial,Expired
P100429,NY,EPO,2,2026-09-17,Large,Medicaid,Active
P100430,MA,EPO,2,2026-02-10,Large,Medicare,Active
P100431,OH,HMO,2,2025-03-11,Small,Commercial,Expired
P100432,OH,EPO,4,2025-06-09,Large,Medicare,Active
P100433,NJ,HMO,1,2025-08-28,Small,Commercial,Expired
P100434,OH,HMO,5,2026-06-07,Small,Commercial,Active
P100435,CT,EPO,2,2025-05-18,Large,Commercial,Expired
P100436,FL,EPO,5,2026-05-10,Large,Commercial,Active
P100437,PA,HMO,5,2026-11-10,Large,Medicare,Active
P100438,MA,HMO,4,2025-09-04,Large,Medicare,Active
P100439,FL,EPO,2,2026-06-27,Large,Medicare,Active
P100440,TX,EPO,5,2026-06-08,Large,Commercial,Active
P100441,NY,POS,2,2025-08-31,Small,Commercial,Active
P100442,CT,HMO,3,2026-09-12,Large,Commercial,Active
P100443,MA,HMO,3,2025-12-02,Large,Medicaid,Active
P100444,FL,POS,3,2026-02-26,Small,Commercial,Active
P100445,NY,HMO,5,2025-07-13,Small,Commercial,Active
P100446,NJ,PPO,3,2025-11-04,Small,Commercial,Expired
