Load_ID,Policy_ID,State,Product,Clause_ID,Policy_Version,Loaded_Version,Load_Date,Loaded_By
L000207,P100023,CA,PPO,CL0671,2,4,2025-01-02,UserB
L000208,P100023,CA,PPO,CL0036,2,5,2025-05-10,System
L000209,P100023,CA,PPO,CL0869,2,1,2025-08-08,System
L000210,P100023,CA,PPO,CL0422,2,3,2025-02-23,UserA
L000211,P100024,IL,HMO,CL0828,1,4,2025-12-09,UserB
L000212,P100024,IL,HMO,CL0701,1,3,2025-08-12,UserC
L000214,P100024,IL,HMO,CL0378,1,4,2025-05-06,UserB
L000215,P100024,IL,HMO,CL0329,1,5,2025-05-10,UserB
L000216,P100024,IL,HMO,CL0681,1,5,2025-02-22,UserC
L000217,P100024,IL,HMO,CL0476,1,2,2025-06-21,UserA
L000218,P100024,IL,HMO,CL0155,1,4,2025-08-06,System
L000219,P100024,IL,HMO,CL0696,1,4,2025-06-09,UserC
L000220,P100024,IL,HMO,CL0347,1,1,2025-07-17,UserB
L000221,P100024,IL,HMO,CL0157,1,5,2025-09-04,UserB
L000222,P100024,IL,HMO,CL0249,1,3,2025-11-20,System
L000223,P100025,CT,POS,CL0034,3,5,2025-07-22,UserB
L000224,P100025,CT,POS,CL0080,3,4,2025-07-03,UserA
L000225,P100025,CT,POS,CL0095,3,1,2025-05-03,UserB
L000226,P100025,CT,POS,CL0187,3,5,2025-09-12,System
L000227,P100025,CT,POS,CL0458,3,2,2025-10-21,UserC
L000228,P100025,CT,POS,CL0624,3,4,2025-10-07,UserA
L000229,P100025,CT,POS,CL0848,3,5,2025-11-21,UserB
L000230,P100025,CT,POS,CL0085,3,4,2025-04-08,System
L000231,P100025,CT,POS,CL0707,3,4,2025-07-17,UserC
L000232,P100025,CT,POS,CL0805,3,2,2025-08-28,UserC
L000233,P100025,CT,POS,CL0657,3,3,2025-05-24,System
L000234,P100026,OH,HMO,CL0659,2,3,2025-04-07,UserC
L000235,P100026,OH,HMO,CL0382,2,3,2025-07-20,UserC
L000236,P100026,OH,HMO,CL0663,2,4,2025-05-04,UserC
L000237,P100026,OH,HMO,CL0872,2,3,2025-07-06,UserC
L000238,P100026,OH,HMO,CL0354,2,3,2025-11-22,System
L000239,P100026,OH,HMO,CL0449,2,5,2025-12-15,System
L000240,P100026,OH,HMO,CL0536,2,2,2025-09-16,UserB
L000241,P100026,OH,HMO,CL0954,2,2,2025-05-28,UserB
L000242,P100026,OH,HMO,CL0234,2,3,2025-09-09,UserA
L000243,P100027,NJ,PPO,CL0327,4,3,2025-12-12,UserC
L000244,P100027,NJ,PPO,CL0023,4,5,2025-05-27,UserC
L000245,P100027,NJ,PPO,CL0672,4,4,2025-05-28,UserA
L000246,P100027,NJ,PPO,CL0618,4,3,2025-12-18,System
L000247,P100027,NJ,PPO,CL0045,4,4,2025-07-18,System
L000248,P100027,NJ,PPO,CL0155,4,4,2025-11-04,UserA
L000249,P100027,NJ,PPO,CL0306,4,5,2025-05-08,UserB
L000250,P100027,NJ,PPO,CL0806,4,3,2025-02-08,UserB
L000251,P100027,NJ,PPO,CL0689,4,1,2025-12-04,UserC
L000252,P100027,NJ,PPO,CL0593,4,2,2025-12-26,UserB
L000253,P100028,TX,EPO,CL0837,3,3,2025-05-09,System
L000254,P100028,TX,EPO,CL0842,3,4,2025-09-24,UserA
L000255,P100028,TX,EPO,CL0898,3,5,2025-05-31,UserA
L000256,P100028,TX,EPO,CL0311,3,4,2025-10-25,UserA
L000257,P100028,TX,EPO,CL0743,3,4,2025-04-09,UserB
L000258,P100028,TX,EPO,CL0490,3,5,2025-09-20,UserA
L000259,P100028,TX,EPO,CL0909,3,2,2025-09-09,UserA
L000260,P100028,TX,EPO,CL0206,3,5,2025-05-24,UserB
L000261,P100028,TX,EPO,CL0636,3,4,2025-12-12,System
L000262,P100028,TX,EPO,CL0307,3,1,2025-04-22,UserC
L000264,P100029,MA,EPO,CL0661,5,1,2025-01-02,UserB
L000265,P100029,MA,EPO,CL0129,5,1,2025-10-31,UserA
L000266,P100029,MA,EPO,CL0541,5,2,2025-09-11,UserC
L000267,P100029,MA,EPO,CL0755,5,2,2025-05-20,System
L000268,P100029,MA,EPO,CL0521,5,3,2025-02-06,UserC
L000269,P100029,MA,EPO,CL0983,5,2,2025-06-09,System
L000270,P100030,IL,HMO,CL0828,2,4,2025-01-09,System
L000271,P100030,IL,HMO,CL0701,2,3,2025-08-21,UserB
L000272,P100030,IL,HMO,CL0276,2,5,2025-04-09,System
L000273,P100030,IL,HMO,CL0378,2,4,2025-05-27,UserA
L000274,P100030,IL,HMO,CL0329,2,5,2025-10-31,UserB
L000275,P100030,IL,HMO,CL0681,2,5,2025-07-27,UserC
L000276,P100030,IL,HMO,CL0476,2,2,2025-05-11,UserB
L000277,P100030,IL,HMO,CL0155,2,4,2025-06-01,System
L000278,P100030,IL,HMO,CL0696,2,4,2025-02-23,UserC
L000279,P100030,IL,HMO,CL0347,2,1,2025-04-30,UserA
L000280,P100030,IL,HMO,CL0157,2,5,2025-06-10,UserB
L000281,P100030,IL,HMO,CL0249,2,3,2025-04-26,System
L000282,P100031,NJ,PPO,CL0327,5,3,2025-03-16,UserC
L000283,P100031,NJ,PPO,CL0023,5,5,2025-04-23,UserA
L000284,P100031,NJ,PPO,CL0672,5,4,2025-04-14,UserA
L000285,P100031,NJ,PPO,CL0618,5,3,2025-12-06,UserB
L000286,P100031,NJ,PPO,CL0045,5,4,2025-09-11,UserC
L000287,P100031,NJ,PPO,CL0155,5,4,2025-08-15,System
L000288,P100031,NJ,PPO,CL0306,5,5,2025-04-22,UserC
L000289,P100031,NJ,PPO,CL0806,5,3,2025-04-09,UserA
L000290,P100031,NJ,PPO,CL0689,5,1,2025-06-02,UserC
L000291,P100031,NJ,PPO,CL0593,5,2,2025-12-15,UserB
L000292,P100032,PA,EPO,CL0863,5,2,2025-12-04,UserC
L000294,P100032,PA,EPO,CL0706,5,3,2025-11-06,UserB
L000295,P100032,PA,EPO,CL0879,5,3,2025-06-12,UserC
L000296,P100032,PA,EPO,CL0211,5,5,2025-07-27,UserB
L000297,P100033,NJ,HMO,CL0388,5,5,2025-06-18,UserB
L000298,P100033,NJ,HMO,CL0304,5,4,2025-06-10,UserB
L000299,P100033,NJ,HMO,CL0760,5,3,2025-03-09,UserA
L000300,P100033,NJ,HMO,CL0050,5,4,2025-10-16,UserC
L000301,P100033,NJ,HMO,CL0040,5,2,2025-10-04,UserB
L000302,P100033,NJ,HMO,CL0397,5,4,2025-10-31,System
L000303,P100033,NJ,HMO,CL0087,5,5,2025-05-15,System
L000304,P100033,NJ,HMO,CL0446,5,4,2025-07-14,UserA
L000305,P100033,NJ,HMO,CL0990,5,1,2025-05-08,UserB
L000306,P100033,NJ,HMO,CL0274,5,4,2025-02-02,UserB
L000307,P100033,NJ,HMO,CL0069,5,5,2025-06-25,UserA
L000308,P100034,TX,HMO,CL0670,1,4,2025-01-22,UserC
L000309,P100034,TX,HMO,CL0546,1,5,2025-08-26,UserB
L000310,P100034,TX,HMO,CL0681,1,3,2025-06-07,UserB
L000311,P100034,TX,HMO,CL0188,1,5,2025-02-07,System
L000312,P100034,TX,HMO,CL0442,1,3,2025-08-18,UserB
L000313,P100034,TX,HMO,CL0125,1,4,2025-12-31,UserA
L000314,P100034,TX,HMO,CL0554,1,1,2025-02-20,System
L000316,P100034,TX,HMO,CL0434,1,5,2025-10-10,UserA
L000317,P100034,TX,HMO,CL0770,1,1,2025-01-27,UserB
L000318,P100034,TX,HMO,CL0653,1,5,2025-08-14,UserC
L000319,P100034,TX,HMO,CL0317,1,2,2025-10-04,UserB
L000320,P100034,TX,HMO,CL0333,1,1,2025-10-13,UserC
L000321,P100035,PA,PPO,CL0474,5,4,2025-04-07,System
L000322,P100035,PA,PPO,CL0563,5,5,2025-10-11,UserA
L000323,P100035,PA,PPO,CL0441,5,2,2025-11-13,UserA
L000324,P100035,PA,PPO,CL0841,5,4,2025-10-31,UserB
L000325,P100035,PA,PPO,CL0943,5,5,2025-05-27,UserC
L000326,P100035,PA,PPO,CL0139,5,2,2025-01-04,UserA
L000327,P100035,PA,PPO,CL0182,5,4,2025-02-04,UserA
L000328,P100035,PA,PPO,CL0994,5,3,2025-07-11,UserC
L000329,P100035,PA,PPO,CL0006,5,5,2025-02-18,UserA
L000330,P100035,PA,PPO,CL0716,5,5,2025-01-17,UserA
L000331,P100035,PA,PPO,CL0348,5,3,2025-06-21,UserA
L000332,P100036,IL,POS,CL0276,4,4,2025-08-08,UserC
L000334,P100036,IL,POS,CL0963,4,2,2025-02-15,System
L000335,P100036,IL,POS,CL0914,4,5,2025-01-06,UserA
L000336,P100036,IL,POS,CL0076,4,4,2025-04-09,UserA
L000337,P100036,IL,POS,CL0214,4,2,2025-08-21,System
L000338,P100036,IL,POS,CL0844,4,4,2025-02-06,UserC
L000339,P100036,IL,POS,CL0593,4,2,2025-10-07,UserC
L000340,P100036,IL,POS,CL0788,4,4,2025-12-15,UserB
L000341,P100036,IL,POS,CL0975,4,1,2025-10-29,UserC
L000342,P100036,IL,POS,CL0010,4,3,2025-06-30,UserB
L000343,P100036,IL,POS,CL0393,4,1,2025-04-05,System
L000344,P100036,IL,POS,CL0631,4,5,2025-04-09,UserC
L000345,P100036,IL,POS,CL0034,4,4,2025-07-07,System
L000346,P100037,TX,HMO,CL0670,4,4,2025-04-26,UserB
L000347,P100037,TX,HMO,CL0546,4,5,2025-07-10,UserA
L000348,P100037,TX,HMO,CL0681,4,3,2025-09-10,UserA
L000349,P100037,TX,HMO,CL0188,4,5,2025-06-10,System
L000350,P100037,TX,HMO,CL0442,4,3,2025-09-13,UserA
L000351,P100037,TX,HMO,CL0125,4,4,2025-11-19,System
L000352,P100037,TX,HMO,CL0554,4,1,2025-05-08,UserB
L000353,P100037,TX,HMO,CL0156,4,5,2025-01-18,UserA
L000354,P100037,TX,HMO,CL0434,4,5,2025-10-08,UserB
L000355,P100037,TX,HMO,CL0770,4,1,2025-08-11,UserC
L000356,P100037,TX,HMO,CL0653,4,5,2025-02-23,UserA
L000357,P100037,TX,HMO,CL0317,4,2,2025-02-27,UserA
L000358,P100037,TX,HMO,CL0333,4,1,2025-11-19,UserA
L000359,P100038,NY,POS,CL0331,3,4,2025-12-26,System
L000360,P100038,NY,POS,CL0317,3,2,2025-06-23,UserC
L000361,P100038,NY,POS,CL0023,3,2,2025-10-07,UserC
L000362,P100038,NY,POS,CL0257,3,1,2025-04-24,UserC
L000363,P100038,NY,POS,CL0747,3,5,2025-10-15,UserB
L000364,P100038,NY,POS,CL0240,3,1,2025-12-08,UserC
L000365,P100038,NY,POS,CL0909,3,2,2025-05-31,System
L000366,P100038,NY,POS,CL0872,3,2,2025-05-07,System
L000367,P100038,NY,POS,CL0802,3,5,2025-06-04,UserB
L000368,P100038,NY,POS,CL0750,3,4,2025-09-30,UserB
L000369,P100038,NY,POS,CL0937,3,4,2025-04-14,UserC
L000370,P100038,NY,POS,CL0163,3,5,2025-10-26,UserC
L000371,P100038,NY,POS,CL0982,3,5,2025-09-03,System
L000372,P100039,MA,POS,CL0786,5,3,2025-06-25,System
L000373,P100039,MA,POS,CL0457,5,1,2025-02-08,UserC
L000374,P100039,MA,POS,CL0274,5,3,2025-06-19,System
L000375,P100039,MA,POS,CL0943,5,4,2025-09-04,UserB
L000376,P100039,MA,POS,CL0310,5,3,2025-01-26,System
L000377,P100039,MA,POS,CL0725,5,4,2025-12-21,UserC
L000378,P100039,MA,POS,CL0225,5,4,2025-11-02,UserB
L000379,P100039,MA,POS,CL0209,5,3,2025-01-13,System
L000380,P100039,MA,POS,CL0612,5,5,2025-11-12,UserB
L000381,P100039,MA,POS,CL0684,5,5,2025-11-09,UserC
L000382,P100039,MA,POS,CL0475,5,5,2025-02-05,System
L000383,P100039,MA,POS,CL0660,5,2,2025-06-22,UserC
L000384,P100040,IL,EPO,CL0283,5,2,2025-01-20,UserA
L000385,P100040,IL,EPO,CL0714,5,1,2025-11-17,UserC
L000386,P100040,IL,EPO,CL0908,5,4,2025-09-21,UserA
L000387,P100040,IL,EPO,CL0770,5,3,2025-05-22,UserB
L000388,P100040,IL,EPO,CL0164,5,1,2025-05-23,UserB
L000389,P100040,IL,EPO,CL0159,5,2,2025-04-02,UserA
L000390,P100040,IL,EPO,CL0107,5,4,2025-12-20,UserB
L000391,P100040,IL,EPO,CL0325,5,1,2025-11-18,UserB
L000392,P100040,IL,EPO,CL0658,5,3,2025-10-15,UserC
L000393,P100040,IL,EPO,CL0767,5,2,2025-08-03,UserA
L000394,P100040,IL,EPO,CL0683,5,3,2025-12-08,System
L000395,P100040,IL,EPO,CL0531,5,3,2025-02-20,UserB
L000396,P100040,IL,EPO,CL0946,5,2,2025-06-02,UserB
L000397,P100040,IL,EPO,CL0557,5,5,2025-07-05,System
L000398,P100041,NY,POS,CL0331,2,3,2025-03-04,UserC
L000399,P100041,NY,POS,CL0317,2,2,2025-07-09,UserC
L000400,P100041,NY,POS,CL0023,2,5,2025-05-05,UserC
L000401,P100041,NY,POS,CL0257,2,1,2025-05-30,System
L000402,P100041,NY,POS,CL0747,2,5,2025-11-10,UserC
L000403,P100041,NY,POS,CL0240,2,1,2025-02-27,UserB
L000404,P100041,NY,POS,CL0909,2,2,2025-12-08,UserC
L000405,P100041,NY,POS,CL0872,2,2,2025-11-01,UserB
L000406,P100041,NY,POS,CL0802,2,5,2025-06-29,System
L000407,P100041,NY,POS,CL0750,2,4,2025-06-19,UserC
L000408,P100041,NY,POS,CL0937,2,4,2025-11-22,UserC
L000409,P100041,NY,POS,CL0163,2,5,2025-09-28,UserB
L000410,P100041,NY,POS,CL0982,2,5,2025-02-23,System
L000411,P100042,OH,PPO,CL0907,1,1,2025-04-11,UserC
L000412,P100042,OH,PPO,CL0603,1,4,2025-09-21,System
L000413,P100042,OH,PPO,CL0396,1,1,2025-02-22,UserB
L000414,P100042,OH,PPO,CL0905,1,1,2025-03-01,UserB
L000415,P100042,OH,PPO,CL0282,1,2,2025-04-18,UserC
L000416,P100042,OH,PPO,CL0924,1,5,2025-01-05,System
