Clause_ID,Clause_Type,Mandatory,State,Product,Version,Expiration_Date
CL0145,Mental Health,Y,FL,POS,1,2027-10-11
CL0146,Mental Health,N,NJ,PPO,2,2027-09-10
CL0147,Women's Health,Y,PA,PPO,2,2027-08-30
CL0148,Women's Health,Y,OH,HMO,1,2026-05-15
CL0149,Appeals,Y,MA,EPO,1,2027-08-03
CL0150,Women's Health,Y,MA,HMO,5,2026-05-27
CL0151,Privacy,N,MA,POS,5,2027-05-05
CL0152,Emergency,Y,OH,HMO,1,2027-04-23
CL0153,Prescription,Y,FL,PPO,3,2026-06-08
CL0154,Behavioral Health,Y,CA,POS,5,2027-01-19
CL0155,Women's Health,Y,NJ,PPO,3,2026-06-12
CL0156,Network,N,OH,EPO,1,2027-03-17
CL0157,Mental Health,Y,PA,PPO,5,2026-07-08
CL0158,Privacy,Y,CA,PPO,2,2027-02-19
CL0159,Pediatric Care,Y,PA,HMO,1,2026-12-05
CL0160,Behavioral Health,Y,CA,PPO,4,2027-08-30
CL0161,Prescription,N,FL,POS,3,2026-06-30
CL0162,Behavioral Health,Y,TX,POS,1,2026-10-15
CL0163,Women's Health,N,PA,EPO,1,2026-07-06
CL0164,Appeals,Y,OH,POS,5,2026-05-18
CL0165,Mental Health,Y,CA,HMO,5,2026-05-10
CL0166,Mental Health,N,MA,EPO,5,2026-07-13
CL0167,Pediatric Care,Y,IL,POS,4,2026-11-12
CL0168,Appeals,Y,MA,HMO,5,2026-05-24
CL0169,Emergency,N,CT,POS,1,2026-01-16
CL0170,Telehealth,Y,TX,POS,5,2026-10-29
CL0171,Privacy,N,TX,PPO,2,2027-02-27
CL0172,Mental Health,Y,MA,POS,5,2026-09-02
CL0173,Network,N,NJ,POS,4,2026-04-17
CL0174,Mental Health,N,FL,HMO,2,2026-03-29
CL0175,Behavioral Health,Y,PA,HMO,1,2026-05-09
CL0176,Mental Health,N,OH,PPO,1,2026-12-07
CL0177,Mental Health,Y,TX,POS,3,2026-01-04
CL0178,Telehealth,N,MA,PPO,2,2026-11-23
CL0179,Telehealth,Y,MA,POS,3,2027-02-14
CL0180,Prescription,Y,FL,EPO,2,2026-11-02
CL0181,Emergency,Y,FL,EPO,2,2027-08-30
CL0182,Network,Y,NY,PPO,4,2027-12-22
CL0183,Mental Health,Y,NY,PPO,3,2026-08-13
CL0184,Mental Health,N,NJ,PPO,4,2026-12-14
CL0185,Privacy,N,NJ,HMO,2,2026-11-17
CL0186,Telehealth,N,CT,HMO,1,2027-07-13
CL0187,Network,Y,NJ,HMO,2,2026-06-30
CL0188,Pediatric Care,Y,CA,PPO,4,2027-09-10
CL0189,Prescription,Y,FL,POS,3,2027-12-12
CL0190,Emergency,Y,OH,EPO,3,2027-01-21
CL0191,Appeals,Y,CA,PPO,4,2027-09-10
CL0192,Emergency,Y,PA,HMO,3,2026-04-18
CL0193,Behavioral Health,N,MA,HMO,5,2027-06-15
CL0194,Mental Health,Y,NJ,PPO,1,2027-02-14
CL0195,Prescription,Y,MA,PPO,1,2026-10-23
CL0196,Behavioral Health,Y,TX,HMO,1,2026-06-20
CL0197,Network,Y,CT,POS,3,2026-11-27
CL0198,Appeals,Y,TX,HMO,3,2027-05-08
CL0199,Telehealth,N,CT,HMO,2,2026-07-14
CL0200,Prescription,Y,NY,PPO,2,2026-01-12
CL0201,Prescription,Y,MA,POS,1,2026-07-14
CL0202,Mental Health,Y,CT,HMO,5,2027-05-05
CL0203,Women's Health,N,IL,HMO,2,2026-07-01
CL0204,Prescription,N,CA,EPO,2,2027-10-18
CL0205,Privacy,N,CT,PPO,3,2026-11-12
CL0206,Appeals,Y,CT,EPO,5,2027-11-25
CL0207,Appeals,Y,CA,EPO,1,2026-01-30
CL0208,Privacy,Y,MA,HMO,2,2027-08-19
CL0209,Pediatric Care,N,MA,PPO,5,2027-11-09
CL0210,Privacy,N,CA,POS,5,2026-04-06
CL0211,Privacy,Y,TX,HMO,1,2027-01-16
CL0212,Appeals,N,IL,POS,5,2027-03-20
CL0213,Emergency,N,OH,POS,5,2026-10-25
CL0214,Appeals,Y,PA,PPO,5,2026-12-27
CL0215,Women's Health,N,IL,EPO,2,2027-01-09
CL0216,Mental Health,N,MA,PPO,1,2027-07-08
CL0217,Behavioral Health,Y,OH,POS,5,2026-10-30
CL0218,Emergency,Y,NY,HMO,5,2027-02-25
CL0219,Telehealth,Y,NJ,POS,2,2026-09-03
CL0220,Behavioral Health,Y,CT,HMO,1,2027-12-21
CL0221,Mental Health,Y,CA,HMO,3,2026-08-25
CL0222,Women's Health,Y,CA,PPO,2,2027-06-18
CL0223,Women's Health,N,CT,POS,1,2026-07-04
CL0224,Telehealth,Y,NJ,EPO,5,2027-04-13
CL0225,Emergency,Y,PA,POS,1,2026-12-29
CL0226,Pediatric Care,Y,NJ,POS,1,2026-10-10
CL0227,Privacy,Y,OH,EPO,1,2027-07-07
CL0228,Emergency,N,NJ,PPO,3,2026-12-02
CL0229,Pediatric Care,Y,OH,POS,1,2026-06-11
CL0230,Women's Health,Y,NJ,POS,3,2026-06-09
CL0231,Appeals,Y,PA,HMO,5,2027-04-19
CL0232,Mental Health,N,PA,POS,3,2027-08-24
CL0233,Telehealth,N,MA,EPO,5,2026-11-18
CL0234,Mental Health,Y,CT,HMO,5,2026-01-12
CL0235,Network,Y,PA,PPO,3,2027-02-28
CL0236,Network,Y,OH,HMO,2,2026-03-14
CL0237,Emergency,Y,PA,EPO,4,2027-08-11
CL0238,Women's Health,Y,MA,EPO,1,2026-07-20
CL0239,Women's Health,Y,CA,HMO,4,2027-06-06
CL0240,Privacy,Y,OH,PPO,1,2027-05-20
CL0241,Privacy,Y,MA,HMO,1,2027-11-19
CL0242,Privacy,N,TX,PPO,5,2026-02-08
CL0243,Appeals,Y,TX,HMO,1,2026-03-01
CL0244,Behavioral Health,Y,NY,EPO,1,2027-08-01
CL0245,Prescription,Y,NJ,POS,3,2026-11-17
CL0246,Behavioral Health,Y,CT,POS,4,2027-03-11
CL0247,Mental Health,N,FL,PPO,3,2027-09-28
CL0248,Behavioral Health,Y,IL,PPO,1,2027-11-07
CL0249,Appeals,Y,MA,PPO,5,2027-02-12
CL0250,Mental Health,N,CA,EPO,3,2027-01-21
CL0251,Behavioral Health,Y,IL,HMO,3,2027-11-02
CL0252,Appeals,Y,CA,EPO,2,2027-07-23
CL0253,Prescription,N,IL,POS,1,2026-03-19
CL0254,Behavioral Health,Y,MA,PPO,5,2026-07-13
CL0255,Appeals,Y,FL,HMO,3,2026-10-12
CL0256,Privacy,N,IL,POS,3,2027-06-11
CL0257,Women's Health,Y,MA,POS,5,2027-06-08
CL0258,Privacy,Y,PA,POS,1,2027-09-05
CL0259,Women's Health,Y,FL,EPO,2,2026-06-05
CL0260,Telehealth,N,OH,PPO,3,2026-12-06
CL0261,Telehealth,Y,CA,POS,2,2026-05-05
CL0262,Telehealth,Y,TX,PPO,4,2026-10-07
CL0263,Prescription,Y,NJ,EPO,1,2027-09-14
CL0264,Privacy,Y,TX,POS,4,2027-10-20
CL0265,Women's Health,Y,FL,EPO,4,2027-12-29
CL0266,Appeals,Y,OH,EPO,4,2027-11-05
CL0267,Mental Health,Y,CA,PPO,1,2026-05-08
CL0268,Appeals,Y,OH,POS,1,2026-11-10
CL0269,Mental Health,Y,IL,EPO,5,2026-11-28
CL0270,Network,Y,CA,POS,2,2026-05-30
CL0271,Appeals,Y,IL,PPO,2,2027-03-30
CL0272,Behavioral Health,Y,MA,EPO,5,2026-02-05
CL0273,Behavioral Health,N,FL,PPO,5,2027-11-16
CL0274,Emergency,Y,MA,POS,4,2027-02-24
CL0275,Privacy,Y,NY,POS,5,2026-01-22
CL0276,Mental Health,Y,OH,PPO,3,2026-07-25
CL0277,Mental Health,N,IL,HMO,2,2027-10-01
CL0278,Privacy,N,PA,EPO,5,2026-12-22
CL0279,Prescription,Y,MA,POS,3,2027-03-16
CL0280,Emergency,Y,NY,POS,3,2027-12-30
CL0281,Prescription,N,CT,EPO,3,2026-04-06
CL0282,Prescription,Y,TX,PPO,3,2026-06-13
CL0283,Prescription,Y,CA,PPO,4,2026-05-28
CL0284,Privacy,Y,NY,PPO,3,2027-06-14
CL0285,Prescription,Y,FL,HMO,4,2026-10-21
CL0286,Behavioral Health,N,MA,HMO,4,2026-07-14
CL0287,Telehealth,N,FL,POS,3,2027-10-25
CL0288,Network,Y,TX,PPO,2,2027-04-25
CL0289,Mental Health,Y,PA,EPO,3,2026-05-03
CL0290,Mental Health,N,OH,POS,3,2027-02-04
CL0291,Network,N,OH,EPO,3,2027-11-30
CL0292,Privacy,Y,FL,POS,2,2027-03-28
CL0293,Appeals,N,IL,HMO,1,2027-10-23
CL0294,Privacy,N,PA,POS,1,2026-04-14
CL0295,Mental Health,N,OH,HMO,4,2027-04-07
CL0296,Mental Health,Y,PA,POS,4,2027-12-19
CL0297,Network,Y,NY,PPO,2,2027-12-11
CL0298,Prescription,N,PA,EPO,5,2027-01-31
CL0299,Privacy,Y,NJ,PPO,1,2026-12-03
CL0300,Women's Health,N,TX,POS,4,2027-08-22
CL0301,Network,Y,OH,POS,1,2026-05-22
CL0302,Behavioral Health,Y,PA,POS,2,2026-11-13
CL0303,Mental Health,Y,FL,HMO,2,2027-12-12
CL0304,Network,Y,CT,EPO,5,2027-07-12
CL0305,Privacy,N,NJ,EPO,5,2027-06-11
CL0306,Mental Health,N,NJ,POS,2,2027-07-10
CL0307,Appeals,N,IL,POS,4,2027-02-05
CL0308,Network,Y,PA,HMO,1,2027-11-12
CL0309,Emergency,Y,IL,PPO,3,2026-11-06
CL0310,Mental Health,Y,IL,PPO,5,2027-05-10
CL0311,Privacy,Y,CT,EPO,3,2027-07-10
CL0312,Telehealth,Y,NY,HMO,4,2027-09-02
CL0313,Women's Health,Y,PA,POS,5,2026-04-19
CL0314,Pediatric Care,Y,MA,EPO,3,2027-01-07
CL0315,Prescription,Y,OH,HMO,4,2027-09-08
CL0316,Pediatric Care,N,IL,PPO,1,2026-07-25
CL0317,Privacy,N,TX,HMO,4,2026-02-12
CL0318,Behavioral Health,Y,CA,PPO,5,2026-09-02
CL0319,Behavioral Health,Y,TX,HMO,2,2026-10-14
CL0320,Telehealth,N,CT,EPO,1,2026-12-21
CL0321,Prescription,Y,CT,PPO,3,2027-04-21
CL0322,Emergency,N,FL,EPO,5,2026-03-24
CL0323,Telehealth,N,NY,EPO,2,2026-04-20
CL0324,Pediatric Care,Y,OH,PPO,4,2026-07-09
CL0325,Telehealth,Y,IL,PPO,2,2026-09-08
CL0326,Pediatric Care,Y,TX,POS,5,2027-12-25
CL0327,Mental Health,Y,CA,POS,5,2026-10-18
CL0328,Behavioral Health,Y,CT,POS,2,2027-10-07
CL0329,Mental Health,N,CT,EPO,4,2026-07-20
CL0330,Women's Health,Y,NY,EPO,2,2026-11-22
CL0331,Prescription,Y,CA,POS,5,2027-05-26
CL0332,Emergency,N,CA,EPO,5,2027-02-13
CL0333,Pediatric Care,N,NY,EPO,3,2027-08-30
CL0334,Emergency,Y,CT,PPO,3,2027-05-23
CL0335,Pediatric Care,Y,OH,PPO,1,2027-08-24
CL0336,Privacy,Y,PA,EPO,5,2026-03-13
CL0337,Telehealth,Y,PA,POS,3,2026-09-04
CL0338,Women's Health,Y,NY,HMO,2,2027-10-03
CL0339,Behavioral Health,Y,CA,POS,4,2027-12-25
CL0340,Pediatric Care,N,IL,HMO,2,2027-08-31
CL0341,Emergency,Y,NY,POS,4,2027-08-10
CL0342,Women's Health,N,OH,PPO,3,2027-07-20
CL0343,Appeals,N,NY,EPO,1,2026-12-10
CL0344,Appeals,Y,NJ,EPO,2,2026-02-23
CL0345,Mental Health,N,TX,PPO,2,2027-12-31
CL0346,Behavioral Health,Y,CA,HMO,2,2027-06-12
CL0347,Privacy,N,FL,HMO,4,2027-09-03
CL0348,Emergency,Y,FL,HMO,3,2027-06-16
CL0349,Telehealth,Y,CA,PPO,2,2027-07-12
CL0350,Telehealth,Y,OH,HMO,2,2026-07-12
CL0351,Emergency,N,NJ,PPO,1,2026-02-27
CL0352,Prescription,N,NJ,POS,1,2027-03-13
CL0353,Privacy,Y,CT,POS,3,2026-04-21
CL0354,Women's Health,N,TX,PPO,3,2026-05-09
CL0355,Pediatric Care,Y,PA,EPO,5,2027-12-07
CL0356,Prescription,Y,MA,POS,1,2026-11-22
CL0357,Pediatric Care,Y,OH,HMO,5,2026-01-08
CL0358,Pediatric Care,Y,MA,PPO,4,2026-01-29
CL0359,Prescription,Y,MA,HMO,5,2026-04-22
CL0360,Mental Health,N,CA,HMO,2,2027-11-04
CL0361,Appeals,Y,FL,EPO,5,2026-05-11
CL0362,Pediatric Care,Y,FL,HMO,3,2026-07-07
CL0363,Prescription,Y,PA,EPO,4,2027-11-06
CL0364,Prescription,N,CA,POS,2,2027-12-10
CL0365,Network,N,MA,PPO,5,2027-04-20
CL0366,Mental Health,Y,IL,HMO,4,2026-12-30
CL0367,Behavioral Health,N,FL,PPO,4,2026-07-23
CL0368,Network,Y,OH,HMO,2,2026-07-31
CL0369,Network,N,OH,PPO,5,2027-09-13
CL0370,Emergency,Y,CT,HMO,4,2026-10-03
CL0371,Appeals,N,NY,HMO,4,2026-03-14
CL0372,Prescription,Y,IL,HMO,1,2027-11-10
CL0373,Appeals,Y,FL,HMO,4,2026-08-31
CL0374,Privacy,N,NJ,HMO,1,2026-04-12
CL0375,Emergency,Y,FL,HMO,5,2027-11-16
CL0376,Behavioral Health,Y,CT,HMO,5,2026-06-20
CL0377,Appeals,Y,OH,HMO,5,2027-10-15
CL0378,Telehealth,Y,MA,HMO,3,2026-07-07
CL0379,Pediatric Care,Y,NJ,PPO,5,2027-03-17
CL0380,Privacy,Y,CA,EPO,4,2026-03-27
CL0381,Mental Health,Y,TX,HMO,2,2027-04-21
CL0382,Behavioral Health,Y,MA,EPO,1,2026-02-21
CL0383,Privacy,N,TX,HMO,3,2026-04-21
CL0384,Pediatric Care,Y,IL,HMO,5,2026-02-12
CL0385,Emergency,Y,NY,PPO,5,2026-07-30
CL0386,Pediatric Care,Y,NJ,POS,2,2026-07-19
CL0387,Network,Y,PA,POS,2,2027-09-19
CL0388,Pediatric Care,N,NJ,PPO,3,2026-01-26
CL0389,Network,Y,FL,EPO,1,2026-10-26
CL0390,Emergency,Y,OH,POS,5,2026-03-18
CL0391,Women's Health,N,FL,PPO,3,2026-05-17
CL0392,Network,N,FL,PPO,4,2026-01-20
CL0393,Mental Health,Y,IL,POS,4,2027-03-16
CL0394,Pediatric Care,N,MA,EPO,3,2026-07-30
CL0395,Pediatric Care,N,PA,PPO,5,2027-07-05
CL0396,Mental Health,Y,PA,HMO,3,2027-03-11
CL0397,Telehealth,N,FL,EPO,5,2026-07-26
CL0398,Prescription,N,TX,EPO,2,2027-03-15
CL0399,Women's Health,Y,IL,POS,3,2027-10-28
CL0400,Behavioral Health,Y,FL,POS,5,2026-02-11
CL0401,Network,Y,NY,HMO,3,2027-02-15
CL0402,Mental Health,N,OH,PPO,3,2027-06-07
CL0403,Emergency,N,MA,POS,5,2027-09-02
CL0404,Network,Y,CA,POS,5,2027-03-03
CL0405,Prescription,Y,NY,EPO,1,2026-10-02
CL0406,Emergency,Y,TX,POS,3,2027-03-24
CL0407,Privacy,Y,NJ,POS,4,2027-01-04
CL0408,Pediatric Care,Y,NJ,POS,3,2026-08-08
CL0409,Privacy,Y,NY,POS,3,2027-07-31
CL0410,Network,N,FL,EPO,5,2026-08-20
CL0411,Prescription,Y,CA,HMO,3,2026-11-24
CL0412,Women's Health,N,CT,HMO,3,2027-03-19
CL0413,Network,Y,CT,PPO,4,2026-02-21
CL0414,Mental Health,Y,TX,POS,5,2027-01-11
CL0415,Appeals,Y,FL,EPO,3,2026-09-20
CL0416,Network,Y,PA,PPO,2,2026-09-24
CL0417,Pediatric Care,N,PA,PPO,1,2026-12-25
CL0418,Pediatric Care,Y,MA,HMO,4,2026-11-13
CL0419,Network,N,CA,EPO,3,2026-11-20
CL0420,Emergency,Y,CA,EPO,2,2027-10-28
CL0421,Appeals,N,NJ,EPO,3,2027-10-14
CL0422,Mental Health,Y,IL,HMO,3,2027-07-17
CL0423,Network,N,TX,HMO,5,2027-09-21
CL0424,Emergency,N,CT,HMO,5,2027-02-25
CL0425,Pediatric Care,Y,TX,HMO,5,2026-02-15
CL0426,Pediatric Care,Y,PA,HMO,2,2027-08-23
CL0427,Prescription,N,PA,POS,3,2027-12-21
CL0428,Network,N,NY,POS,1,2026-09-26
CL0429,Appeals,Y,MA,EPO,4,2027-08-24
CL0430,Telehealth,N,CA,PPO,5,2027-01-16
CL0431,Appeals,N,OH,EPO,5,2026-04-28
CL0432,Pediatric Care,N,TX,PPO,3,2027-07-20
CL0433,Pediatric Care,N,PA,HMO,3,2026-04-26
CL0434,Privacy,N,IL,PPO,2,2027-09-22
CL0435,Pediatric Care,Y,NJ,EPO,2,2026-09-17
CL0436,Mental Health,Y,CT,EPO,5,2026-03-16
CL0437,Behavioral Health,Y,MA,PPO,3,2027-04-25
CL0438,Network,N,IL,POS,1,2026-11-01
CL0439,Appeals,N,MA,HMO,4,2026-01-07
CL0440,Behavioral Health,Y,NY,HMO,3,2027-01-01
CL0441,Emergency,N,OH,EPO,3,2027-09-26
CL0442,Telehealth,N,PA,POS,2,2027-06-07
CL0443,Mental Health,Y,NJ,PPO,4,2026-12-14
CL0444,Appeals,Y,IL,HMO,5,2027-03-14
CL0445,Behavioral Health,Y,MA,POS,3,2026-08-03
CL0446,Telehealth,Y,CA,HMO,5,2027-03-05
CL0447,Privacy,Y,NY,POS,3,2027-05-13
CL0448,Mental Health,Y,CA,POS,5,2027-06-24
CL0449,Mental Health,Y,NJ,EPO,4,2027-01-02
CL0450,Privacy,Y,IL,HMO,2,2026-11-09
CL0451,Network,Y,NY,PPO,4,2027-06-22
CL0452,Privacy,Y,IL,EPO,1,2026-02-23
CL0453,Mental Health,N,PA,EPO,2,2027-06-25
CL0454,Mental Health,Y,FL,PPO,4,2027-04-12
CL0455,Behavioral Health,N,NY,EPO,1,2026-06-13
CL0456,Pediatric Care,N,CA,POS,3,2026-11-30
CL0457,Telehealth,Y,NJ,POS,3,2027-07-01
CL0458,Privacy,Y,OH,HMO,5,2026-12-14
CL0459,Telehealth,Y,PA,HMO,2,2026-09-30
CL0460,Privacy,Y,FL,PPO,3,2027-12-21
CL0461,Emergency,Y,OH,HMO,2,2027-02-18
CL0462,Mental Health,Y,CT,POS,3,2027-05-15
CL0463,Pediatric Care,Y,PA,PPO,5,2026-04-03
CL0464,Behavioral Health,Y,NJ,PPO,4,2027-11-16
CL0465,Pediatric Care,Y,MA,HMO,5,2026-03-20
CL0466,Pediatric Care,Y,NY,POS,1,2027-09-14
CL0467,Pediatric Care,Y,IL,PPO,3,2026-08-05
CL0468,Telehealth,Y,NJ,POS,1,2026-12-24
CL0469,Privacy,Y,NY,POS,1,2027-09-10
CL0470,Women's Health,N,OH,POS,2,2027-05-22
CL0471,Emergency,Y,IL,HMO,3,2027-07-13
CL0472,Appeals,Y,TX,EPO,1,2026-06-30
CL0473,Pediatric Care,Y,CA,EPO,4,2027-07-30
CL0474,Network,Y,CT,PPO,1,2026-09-03
CL0475,Telehealth,N,PA,POS,4,2026-09-01
CL0476,Behavioral Health,N,NJ,HMO,2,2027-05-21
